"date","conf","status1","s1"
"1995-03-31","","Normal value",789838.1
"1995-06-30","","Normal value",801532.25
"1995-09-30","","Normal value",813318.33
"1995-12-31","","Normal value",821052.33
"1996-03-31","","Normal value",835033.48
"1996-06-30","","Normal value",843267.69
"1996-09-30","","Normal value",851529.01
"1996-12-31","","Normal value",851562.87
"1997-03-31","","Normal value",851864.65
"1997-06-30","","Normal value",854814.36
"1997-09-30","","Normal value",862072.64
"1997-12-31","","Normal value",876959.04
"1998-03-31","","Normal value",876758.81
"1998-06-30","","Normal value",884486.43
"1998-09-30","","Normal value",898925.44
"1998-12-31","","Normal value",913162.26
"1999-03-31","","Normal value",920296.46
"1999-06-30","","Normal value",930067.42
"1999-09-30","","Normal value",942972.52
"1999-12-31","","Normal value",954476.93
"2000-03-31","","Normal value",970406.45
"2000-06-30","","Normal value",982140
"2000-09-30","","Normal value",993338.2
"2000-12-31","","Normal value",1002280.35
"2001-03-31","","Normal value",1017404.87
"2001-06-30","","Normal value",1028322.72
"2001-09-30","","Normal value",1035054.17
"2001-12-31","","Normal value",1040606.88
"2002-03-31","","Normal value",1046380.86
"2002-06-30","","Normal value",1050934.14
"2002-09-30","","Normal value",1061060.65
"2002-12-31","","Normal value",1073121.61
"2003-03-31","","Normal value",1082712.88
"2003-06-30","","Normal value",1086927.66
"2003-09-30","","Normal value",1097890.69
"2003-12-31","","Normal value",1106604.34
"2004-03-31","","Normal value",1118386.78
"2004-06-30","","Normal value",1128829.73
"2004-09-30","","Normal value",1135601.42
"2004-12-31","","Normal value",1150697.85
"2005-03-31","","Normal value",1159542
"2005-06-30","","Normal value",1171351.05
"2005-09-30","","Normal value",1186824.02
"2005-12-31","","Normal value",1197238.9
"2006-03-31","","Normal value",1211078.84
"2006-06-30","","Normal value",1226248.87
"2006-09-30","","Normal value",1236941.9
"2006-12-31","","Normal value",1251962.69
"2007-03-31","","Normal value",1259038.72
"2007-06-30","","Normal value",1277907.78
"2007-09-30","","Normal value",1291633.96
"2007-12-31","","Normal value",1309953.89
"2008-03-31","","Normal value",1319402.96
"2008-06-30","","Normal value",1328023.9
"2008-09-30","","Normal value",1331609.74
"2008-12-31","","Normal value",1317560.1
"2009-03-31","","Normal value",1298646.12
"2009-06-30","","Normal value",1299134.89
"2009-09-30","","Normal value",1300486.02
"2009-12-31","","Normal value",1308150.14
"2010-03-31","","Normal value",1318384.88
"2010-06-30","","Normal value",1328010.44
"2010-09-30","","Normal value",1337288.4
"2010-12-31","","Normal value",1349279.94
"2011-03-31","","Normal value",1358691.82
"2011-06-30","","Normal value",1361836.01
"2011-09-30","","Normal value",1367461.71
"2011-12-31","","Normal value",1368495.61
"2012-03-31","","Normal value",1375069.42
"2012-06-30","","Normal value",1373805.42
"2012-09-30","","Normal value",1373698.64
"2012-12-31","","Normal value",1376184.91
"2013-03-31","","Normal value",1374994.69
"2013-06-30","","Normal value",1378503.24
"2013-09-30","","Normal value",1384646.56
"2013-12-31","","Normal value",1389080.69
"2014-03-31","","Normal value",1392181.21
"2014-06-30","","Normal value",1395900.99
"2014-09-30","","Normal value",1403792.18
"2014-12-31","","Normal value",1410556.38
"2015-03-31","","Normal value",1414956.17
"2015-06-30","","Normal value",1429826.44
"2015-09-30","","Normal value",1436545.88
"2015-12-31","","Normal value",1441610.41
"2016-03-31","","Normal value",1450025.93
"2016-06-30","","Normal value",1457947.25
"2016-09-30","","Normal value",1467074.54
"2016-12-31","","Normal value",1481839.72
"2017-03-31","","Normal value",1496544.03
"2017-06-30","","Normal value",1504912.67
"2017-09-30","","Normal value",1516260.63
"2017-12-31","","Normal value",1528186.55
"2018-03-31","","Normal value",1543927.96
"2018-06-30","","Normal value",1551878.07
"2018-09-30","","Normal value",1559901.64
"2018-12-31","","Normal value",1572322.47
"2019-03-31","","Normal value",1580958.94
"2019-06-30","","Normal value",1589230.71
"2019-09-30","","Normal value",1603047.76
"2019-12-31","","Normal value",1612278.33
"2020-03-31","","Normal value",1545647.48
"2020-06-30","","Normal value",1350831.63
"2020-09-30","","Normal value",1533162.52
"2020-12-31","","Normal value",1493800.81
"2021-03-31","","Normal value",1482101.28
"2021-06-30","","Normal value",1538137.76
"2021-09-30","","Normal value",1617734.3
"2021-12-31","","Normal value",1644107.96
"2022-03-31","","Normal value",1680890.29
"2022-06-30","","Normal value",1730531.23
"2022-09-30","","Normal value",1785254.85
"2022-12-31","","Normal value",1809191.61
"2023-03-31","","Normal value",1831846.01
