"date","conf","status1","s1"
"1980-01-31","","Normal value",444330
"1980-02-29","","Normal value",447116
"1980-03-31","","Normal value",451370
"1980-04-30","","Normal value",453226
"1980-05-31","","Normal value",455917
"1980-06-30","","Normal value",458753
"1980-07-31","","Normal value",464938
"1980-08-31","","Normal value",465216
"1980-09-30","","Normal value",466718
"1980-10-31","","Normal value",473228
"1980-11-30","","Normal value",476657
"1980-12-31","","Normal value",473379
"1981-01-31","","Normal value",476622
"1981-02-28","","Normal value",480316
"1981-03-31","","Normal value",481349
"1981-04-30","","Normal value",482746
"1981-05-31","","Normal value",486588
"1981-06-30","","Normal value",487093
"1981-07-31","","Normal value",488660
"1981-08-31","","Normal value",489042
"1981-09-30","","Normal value",493362
"1981-10-31","","Normal value",494975
"1981-11-30","","Normal value",497550
"1981-12-31","","Normal value",499258
"1982-01-31","","Normal value",504513
"1982-02-28","","Normal value",507652
"1982-03-31","","Normal value",512323
"1982-04-30","","Normal value",517834
"1982-05-31","","Normal value",519493
"1982-06-30","","Normal value",525037
"1982-07-31","","Normal value",527685
"1982-08-31","","Normal value",534112
"1982-09-30","","Normal value",537908
"1982-10-31","","Normal value",540880
"1982-11-30","","Normal value",548081
"1982-12-31","","Normal value",551435
"1983-01-31","","Normal value",556058
"1983-02-28","","Normal value",561066
"1983-03-31","","Normal value",564440
"1983-04-30","","Normal value",569885
"1983-05-31","","Normal value",574912
"1983-06-30","","Normal value",581509
"1983-07-31","","Normal value",586440
"1983-08-31","","Normal value",589345
"1983-09-30","","Normal value",590795
"1983-10-31","","Normal value",593003
"1983-11-30","","Normal value",597800
"1983-12-31","","Normal value",603201
"1984-01-31","","Normal value",605312
"1984-02-29","","Normal value",607750
"1984-03-31","","Normal value",610604
"1984-04-30","","Normal value",613037
"1984-05-31","","Normal value",618405
"1984-06-30","","Normal value",620180
"1984-07-31","","Normal value",623188
"1984-08-31","","Normal value",630220
"1984-09-30","","Normal value",633449
"1984-10-31","","Normal value",636282
"1984-11-30","","Normal value",641335
"1984-12-31","","Normal value",649438
"1985-01-31","","Normal value",655896
"1985-02-28","","Normal value",660173
"1985-03-31","","Normal value",662471
"1985-04-30","","Normal value",662313
"1985-05-31","","Normal value",664412
"1985-06-30","","Normal value",667103
"1985-07-31","","Normal value",673104
"1985-08-31","","Normal value",676373
"1985-09-30","","Normal value",681849
"1985-10-31","","Normal value",688046
"1985-11-30","","Normal value",691122
"1985-12-31","","Normal value",698795
"1986-01-31","","Normal value",702125
"1986-02-28","","Normal value",709952
"1986-03-31","","Normal value",724787
"1986-04-30","","Normal value",722982
"1986-05-31","","Normal value",730348
"1986-06-30","","Normal value",729246
"1986-07-31","","Normal value",737933
"1986-08-31","","Normal value",743114
"1986-09-30","","Normal value",748489
"1986-10-31","","Normal value",756418
"1986-11-30","","Normal value",758059
"1986-12-31","","Normal value",760344
"1987-01-31","","Normal value",767204
"1987-02-28","","Normal value",770640
"1987-03-31","","Normal value",777454
"1987-04-30","","Normal value",785292
"1987-05-31","","Normal value",788094
"1987-06-30","","Normal value",796118
"1987-07-31","","Normal value",800728
"1987-08-31","","Normal value",803222
"1987-09-30","","Normal value",809350
"1987-10-31","","Normal value",815589
"1987-11-30","","Normal value",816949
"1987-12-31","","Normal value",815428
"1988-01-31","","Normal value",824174
"1988-02-29","","Normal value",827054
"1988-03-31","","Normal value",832408
"1988-04-30","","Normal value",843094
"1988-05-31","","Normal value",848492
"1988-06-30","","Normal value",854395
"1988-07-31","","Normal value",863859
"1988-08-31","","Normal value",868224
"1988-09-30","","Normal value",869720
"1988-10-31","","Normal value",877198
"1988-11-30","","Normal value",881397
"1988-12-31","","Normal value",882693
"1989-01-31","","Normal value",888361
"1989-02-28","","Normal value",893464
"1989-03-31","","Normal value",908243
"1989-04-30","","Normal value",901575
"1989-05-31","","Normal value",907746
"1989-06-30","","Normal value",920566
"1989-07-31","","Normal value",926896
"1989-08-31","","Normal value",933145
"1989-09-30","","Normal value",935497
"1989-10-31","","Normal value",941093
"1989-11-30","","Normal value",947348
"1989-12-31","","Normal value",956837
"1990-01-31","","Normal value",965584
"1990-02-28","","Normal value",965756
"1990-03-31","","Normal value",965508
"1990-04-30","","Normal value",966414
"1990-05-31","","Normal value",972359
"1990-06-30","","Normal value",1006819
"1990-07-31","","Normal value",1014117
"1990-08-31","","Normal value",1022099
"1990-09-30","","Normal value",1028301
"1990-10-31","","Normal value",1027958
"1990-11-30","","Normal value",1033314
"1990-12-31","","Normal value",1058884
"1991-01-31","","Normal value",1056331
"1991-02-28","","Normal value",1065570
"1991-03-31","","Normal value",1059848
"1991-04-30","","Normal value",1064370
"1991-05-31","","Normal value",1070969
"1991-06-30","","Normal value",1073039
"1991-07-31","","Normal value",1080404
"1991-08-31","","Normal value",1083755
"1991-09-30","","Normal value",1081506
"1991-10-31","","Normal value",1081901
"1991-11-30","","Normal value",1091345
"1991-12-31","","Normal value",1099507
"1992-01-31","","Normal value",1093150
"1992-02-29","","Normal value",1092910
"1992-03-31","","Normal value",1100845
"1992-04-30","","Normal value",1108333
"1992-05-31","","Normal value",1114672
"1992-06-30","","Normal value",1109260
"1992-07-31","","Normal value",1113660
"1992-08-31","","Normal value",1115857
"1992-09-30","","Normal value",1128821
"1992-10-31","","Normal value",1132818
"1992-11-30","","Normal value",1145342
"1992-12-31","","Normal value",1144131
"1993-01-31","","Normal value",1139862
"1993-02-28","","Normal value",1141771
"1993-03-31","","Normal value",1152504
"1993-04-30","","Normal value",1155244
"1993-05-31","","Normal value",1159512
"1993-06-30","","Normal value",1166557
"1993-07-31","","Normal value",1170031
"1993-08-31","","Normal value",1175388
"1993-09-30","","Normal value",1183230
"1993-10-31","","Normal value",1198003
"1993-11-30","","Normal value",1213444
"1993-12-31","","Normal value",1221682
"1994-01-31","","Normal value",1234252
"1994-02-28","","Normal value",1241994
"1994-03-31","","Normal value",1254183
"1994-04-30","","Normal value",1257216
"1994-05-31","","Normal value",1251928
"1994-06-30","","Normal value",1260722
"1994-07-31","","Normal value",1262275
"1994-08-31","","Normal value",1268603
"1994-09-30","","Normal value",1271745
"1994-10-31","","Normal value",1278103
"1994-11-30","","Normal value",1273612
"1994-12-31","","Normal value",1273837
"1995-01-31","","Normal value",1270347
"1995-02-28","","Normal value",1279599
"1995-03-31","","Normal value",1279786
"1995-04-30","","Normal value",1280661
"1995-05-31","","Normal value",1288668
"1995-06-30","","Normal value",1291901
"1995-07-31","","Normal value",1295406
"1995-08-31","","Normal value",1300280
"1995-09-30","","Normal value",1313848
"1995-10-31","","Normal value",1312908
"1995-11-30","","Normal value",1320636
"1995-12-31","","Normal value",1349298
"1996-01-31","","Normal value",1342826
"1996-02-29","","Normal value",1342788
"1996-03-31","","Normal value",1347622
"1996-04-30","","Normal value",1360812
"1996-05-31","","Normal value",1367743
"1996-06-30","","Normal value",1370698
"1996-07-31","","Normal value",1379242
"1996-08-31","","Normal value",1391358
"1996-09-30","","Normal value",1403713
"1996-10-31","","Normal value",1413817
"1996-11-30","","Normal value",1431291
"1996-12-31","","Normal value",1458860
"1997-01-31","","Normal value",1455766
"1997-02-28","","Normal value",1462263
"1997-03-31","","Normal value",1462135
"1997-04-30","","Normal value",1462884
"1997-05-31","","Normal value",1481529
"1997-06-30","","Normal value",1497996
"1997-07-31","","Normal value",1511944
"1997-08-31","","Normal value",1519774
"1997-09-30","","Normal value",1529659
"1997-10-31","","Normal value",1553269
"1997-11-30","","Normal value",1552044
"1997-12-31","","Normal value",1566011
"1998-01-31","","Normal value",1574257
"1998-02-28","","Normal value",1586035
"1998-03-31","","Normal value",1606018
"1998-04-30","","Normal value",1619997
"1998-05-31","","Normal value",1633711
"1998-06-30","","Normal value",1657166
"1998-07-31","","Normal value",1652445
"1998-08-31","","Normal value",1659698
"1998-09-30","","Normal value",1668328
"1998-10-31","","Normal value",1683846
"1998-11-30","","Normal value",1702749
"1998-12-31","","Normal value",1726398
"1999-01-31","","Normal value",1807005
"1999-02-28","","Normal value",1785973
"1999-03-31","","Normal value",1806407
"1999-04-30","","Normal value",1823152
"1999-05-31","","Normal value",1836913
